pageIndex,id,varName
Chiller,item_available_0,Top Level Mode
Chiller,item_available_1,Top Level Mode Ckt1 
Chiller,item_available_2,Top Level Mode Cprsr1A
Chiller,item_available_3,Top Level Mode Cprsr1B
Chiller,item_available_4,Top Level Mode Ckt2 
Chiller,item_available_5,Top Level Mode Cprsr2A
Chiller,item_available_6,Top Level Mode Cprsr2B
Chiller,item_available_7,Chiller Running Time
Chiller,item_available_8,Chiller Load Command
Chiller,item_available_9,Total Compressor Current %RLA
Chiller,item_available_10,Ice Building Active
Chiller,item_available_11,Free Cooling Active
Chiller,item_available_12,Active Chilled Water Setpoint
Chiller,item_available_13,Active Chilled Water Setpoint Source
Chiller,item_available_14,External Chilled Water Setpoint
Chiller,item_available_15,Active Demand Limit Setpoint
Chiller,item_available_16,Active Demand Limit Setpoint Source
Chiller,item_available_17,External Demand Limit Setpoint
Chiller,item_available_18,Active Ice Termination Setpoint
Chiller,item_available_19,Active Ice Termination Setpoint Source
Evaporator,item_available_0,Evaporator Water Flow Status
Evaporator,item_available_1,Evaporator Entering Water Temperature
Evaporator,item_available_2,Evaporator Leaving Water Temperature
Evaporator,item_available_3,Evaporator Approach Temperature Ckt1
Evaporator,item_available_4,Evaporator Refrigerant Pressure Ckt1
Evaporator,item_available_5,Evaporator Saturated Rfgt Temp Ckt1
Evaporator,item_available_6,Evaporator Refrigerant Pool Temp Ckt1
Evaporator,item_available_7,EXV Percent Open Ckt1
Evaporator,item_available_8,EXV Override Time Remaining Ckt1
Evaporator,item_available_9,Oil Return Solenoid Valve Cprsr1A
Evaporator,item_available_10,Oil Return Solenoid Valve Cprsr1B
Evaporator,item_available_11,Evaporator Approach Temperature Ckt2
Evaporator,item_available_12,Evaporator Refrigerant Pressure Ckt2
Evaporator,item_available_13,Evaporator Saturated Rfgt Temp Ckt2
Evaporator,item_available_14,Evaporator Refrigerant Pool Temp Ckt2
Evaporator,item_available_15,EXV Percent Open Ckt2
Evaporator,item_available_16,EXV Override Time Remaining Ckt2
Evaporator,item_available_17,Oil Return Solenoid Valve Cprsr2A
Evaporator,item_available_18,Oil Return Solenoid Valve Cprsr2B
Evaporator,item_available_19,Evaporator Water Pump Command
Evaporator,item_available_20,Evaporator Water Pump Command Pump 1
Evaporator,item_available_21,Evaporator Water Pump Command Pump 2
Evaporator,item_available_22,Evaporator Water Pump Running Time Pump 1
Evaporator,item_available_23,Evaporator Water Pump Running Time Pump 2
Evaporator,item_available_24,Evaporator Water Pump Override
Evaporator,item_available_25,Evaporator Pump Override Time Remaining
Evaporator,item_available_26,Free Cooling Capacity
Evaporator,item_available_27,Free Cooling Valve Percent Open
Evaporator,item_available_28,Free Cooling Bypass Valve Percent Open
Evaporator,item_available_29,Free Cooling Entering Water Temperature
Condenser ,item_available_0,Outdoor Air Temperature
Condenser ,item_available_1,Condenser Refrigerant Pressure Ckt1
Condenser ,item_available_2,Condenser Saturated Rfgt Temp Ckt1
Condenser ,item_available_3,Condenser Temperature Target Ckt1
Condenser ,item_available_4,Differential Refrigerant Pressure Ckt1
Condenser ,item_available_5,Air Flow Ckt1
Condenser ,item_available_6,Cond Discharge Rfgt Saturated Temp Ckt1
Condenser ,item_available_7,Condenser Discharge Rfgt Temp Ckt1
Condenser ,item_available_8,Condenser Discharge Rfgt Subcooling Ckt1
Condenser ,item_available_9,Condenser Discharge Rfgt Pressure Ckt1
Condenser ,item_available_10,Condenser Refrigerant Tank Valve Ckt1
Condenser ,item_available_11,Condenser Refrigerant Pressure Ckt2
Condenser ,item_available_12,Condenser Saturated Rfgt Temp Ckt2
Condenser ,item_available_13,Condenser Temperature Target Ckt2
Condenser ,item_available_14,Differential Refrigerant Pressure Ckt2
Condenser ,item_available_15,Air Flow Ckt2
Condenser ,item_available_16,Cond Discharge Rfgt Saturated Temp Ckt2
Condenser ,item_available_17,Condenser Discharge Rfgt Temp Ckt2
Condenser ,item_available_18,Condenser Discharge Rfgt Subcooling Ckt2
Condenser ,item_available_19,Condenser Discharge Rfgt Pressure Ckt2
Condenser ,item_available_20,Condenser Refrigerant Tank Valve Ckt2
Condenser ,item_available_21,Heat Recovery Entering Water Temp
Condenser ,item_available_22,Heat Recovery Leaving Water Temp
Compressor ,item_available_0,Oil Loss Level Sensor Ckt1
Compressor ,item_available_1,Running Status Cprsr1A
Compressor ,item_available_2,Running Time Cprsr1A
Compressor ,item_available_3,Starts Cprsr1A
Compressor ,item_available_4,Discharge Temperature Cprsr1A
Compressor ,item_available_5,Discharge Superheat Cprsr1A
Compressor ,item_available_6,Oil Pressure Cprsr1A
Compressor ,item_available_7,Oil Temperature Cprsr1A
Compressor ,item_available_8,Suction Refrigerant Pressure Cprsr1A
Compressor ,item_available_9,Differential Rfgt Pressure Cprsr1A
Compressor ,item_available_10,Economizer Valve Percent Open Cprsr1A
Compressor ,item_available_11,Economizer Discharge Pressure Cprsr1A
Compressor ,item_available_12,Economizer Discharge Temperature Cprsr1A
Compressor ,item_available_13,Economizer Superheat Cprsr1A
Compressor ,item_available_14,Running Status Cprsr1B
Compressor ,item_available_15,Running Time Cprsr1B
Compressor ,item_available_16,Starts Cprsr1B
Compressor ,item_available_17,Discharge Temperature Cprsr1B
Compressor ,item_available_18,Discharge Superheat Cprsr1B
Compressor ,item_available_19,Oil Pressure Cprsr1B
Compressor ,item_available_20,Oil Temperature Cprsr1B
Compressor ,item_available_21,Suction Refrigerant Pressure Cprsr1B
Compressor ,item_available_22,Differential Rfgt Pressure Cprsr1B
Compressor ,item_available_23,Economizer Valve Percent Open Cprsr1B
Compressor ,item_available_24,Economizer Discharge Pressure Cprsr1B
Compressor ,item_available_25,Economizer Discharge Temperature Cprsr1B
Compressor ,item_available_26,Economizer Superheat Cprsr1B
Compressor ,item_available_27,Oil Loss Level Sensor Ckt2
Compressor ,item_available_28,Running Status Cprsr2A
Compressor ,item_available_29,Running Time Cprsr2A
Compressor ,item_available_30,Starts Cprsr2A
Compressor ,item_available_31,Discharge Temperature Cprsr2A
Compressor ,item_available_32,Discharge Superheat Cprsr2A
Compressor ,item_available_33,Oil Pressure Cprsr2A
Compressor ,item_available_34,Oil Temperature Cprsr2A
Compressor ,item_available_35,Suction Refrigerant Pressure Cprsr2A
Compressor ,item_available_36,Differential Rfgt Pressure Cprsr2A
Compressor ,item_available_37,Economizer Valve Percent Open Cprsr2A
Compressor ,item_available_38,Economizer Discharge Pressure Cprsr2A
Compressor ,item_available_39,Economizer Discharge Temperature Cprsr2A
Compressor ,item_available_40,Economizer Superheat Cprsr2A
Compressor ,item_available_41,Running Status Cprsr2B
Compressor ,item_available_42,Running Time Cprsr2B
Compressor ,item_available_43,Starts Cprsr2B
Compressor ,item_available_44,Discharge Temperature Cprsr2B
Compressor ,item_available_45,Discharge Superheat Cprsr2B
Compressor ,item_available_46,Oil Pressure Cprsr2B
Compressor ,item_available_47,Oil Temperature Cprsr2B
Compressor ,item_available_48,Suction Refrigerant Pressure Cprsr2B
Compressor ,item_available_49,Differential Rfgt Pressure Cprsr2B
Compressor ,item_available_50,Economizer Valve Percent Open Cprsr2B
Compressor ,item_available_51,Economizer Discharge Pressure Cprsr2B
Compressor ,item_available_52,Economizer Discharge Temperature Cprsr2B
Compressor ,item_available_53,Economizer Superheat Cprsr2B
Motor ,item_available_0,Energy Consumption Last Reset
Motor ,item_available_1,Energy Consumption Resettable
Motor ,item_available_2,Energy Consumption NonReset
Motor ,item_available_3,Unit Power Consumption
Motor ,item_available_4,Chiller Power Demand
Motor ,item_available_5,Average Line Current % RLA Starter 1A
Motor ,item_available_6,Motor Current L1 % RLA Starter 1A
Motor ,item_available_7,Motor Current L2 % RLA Starter 1A
Motor ,item_available_8,Motor Current L3 % RLA Starter 1A
Motor ,item_available_9,Motor Current L1 Starter 1A
Motor ,item_available_10,Motor Current L2 Starter 1A
Motor ,item_available_11,Motor Current L3 Starter 1A
Motor ,item_available_12,Motor Voltage AB Starter 1A
Motor ,item_available_13,Motor Voltage BC Starter 1A
Motor ,item_available_14,Motor Voltage CA Starter 1A
Motor ,item_available_15,Average Line Current % RLA Starter 1B
Motor ,item_available_16,Motor Current L1 % RLA Starter 1B
Motor ,item_available_17,Motor Current L2 % RLA Starter 1B
Motor ,item_available_18,Motor Current L3 % RLA Starter 1B
Motor ,item_available_19,Motor Current L1 Starter 1B
Motor ,item_available_20,Motor Current L2 Starter 1B
Motor ,item_available_21,Motor Current L3 Starter 1B
Motor ,item_available_22,Motor Voltage AB Starter 1B
Motor ,item_available_23,Motor Voltage BC Starter 1B
Motor ,item_available_24,Motor Voltage CA Starter 1B
Motor ,item_available_25,Average Line Current % RLA Starter 2A
Motor ,item_available_26,Motor Current L1 % RLA Starter 2A
Motor ,item_available_27,Motor Current L2 % RLA Starter 2A
Motor ,item_available_28,Motor Current L3 % RLA Starter 2A
Motor ,item_available_29,Motor Current L1 Starter 2A
Motor ,item_available_30,Motor Current L2 Starter 2A
Motor ,item_available_31,Motor Current L3 Starter 2A
Motor ,item_available_32,Motor Voltage AB Starter 2A
Motor ,item_available_33,Motor Voltage BC Starter 2A
Motor ,item_available_34,Motor Voltage CA Starter 2A
Motor ,item_available_35,Average Line Current % RLA Starter 2B
Motor ,item_available_36,Motor Current L1 % RLA Starter 2B
Motor ,item_available_37,Motor Current L2 % RLA Starter 2B
Motor ,item_available_38,Motor Current L3 % RLA Starter 2B
Motor ,item_available_39,Motor Current L1 Starter 2B
Motor ,item_available_40,Motor Current L2 Starter 2B
Motor ,item_available_41,Motor Current L3 Starter 2B
Motor ,item_available_42,Motor Voltage AB Starter 2B
Motor ,item_available_43,Motor Voltage BC Starter 2B
Motor ,item_available_44,Motor Voltage CA Starter 2B
